Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-08
Horizontal Delay,4e-08
Sample Interval,4e-10
Record Length,10000
Gating,44.9900% to 55.00%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.06024
Vertical Scale,0.001
Vertical Position,-5
,
,
,
Label,
TIME,CH1
4.5600e-08,0.0658
4.6000e-08,0.0658
4.6400e-08,0.066
4.6800e-08,0.0662
4.7200e-08,0.06636
4.7600e-08,0.06656
4.8000e-08,0.06676
4.8400e-08,0.06684
4.8800e-08,0.0666
4.9200e-08,0.06596
4.9600e-08,0.06524
5.0000e-08,0.06488
5.0400e-08,0.06496
5.0800e-08,0.06524
5.1200e-08,0.06532
5.1600e-08,0.06504
5.2000e-08,0.0648
5.2400e-08,0.06492
5.2800e-08,0.0656
5.3200e-08,0.06636
5.3600e-08,0.0668
5.4000e-08,0.06676
5.4400e-08,0.0666
5.4800e-08,0.06676
5.5200e-08,0.06688
5.5600e-08,0.06668
5.6000e-08,0.06596
5.6400e-08,0.06512
5.6800e-08,0.06464
5.7200e-08,0.0648
5.7600e-08,0.06544
5.8000e-08,0.0662
5.8400e-08,0.06656
5.8800e-08,0.06612
5.9200e-08,0.06524
5.9600e-08,0.06436
6.0000e-08,0.06388
6.0400e-08,0.064
6.0800e-08,0.06452
6.1200e-08,0.06508
6.1600e-08,0.06544
6.2000e-08,0.06572
6.2400e-08,0.06584
6.2800e-08,0.06592
6.3200e-08,0.06568
6.3600e-08,0.06532
6.4000e-08,0.065
6.4400e-08,0.06504
6.4800e-08,0.0656
6.5200e-08,0.06636
6.5600e-08,0.06688
6.6000e-08,0.06676
6.6400e-08,0.06624
6.6800e-08,0.06572
6.7200e-08,0.06544
6.7600e-08,0.06552
6.8000e-08,0.0658
6.8400e-08,0.06576
6.8800e-08,0.06548
6.9200e-08,0.06528
6.9600e-08,0.0654
7.0000e-08,0.06564
7.0400e-08,0.06608
7.0800e-08,0.0664
7.1200e-08,0.06644
7.1600e-08,0.06632
7.2000e-08,0.06608
7.2400e-08,0.06596
7.2800e-08,0.06592
7.3200e-08,0.066
7.3600e-08,0.06628
7.4000e-08,0.06652
7.4400e-08,0.06672
7.4800e-08,0.06664
7.5200e-08,0.0664
7.5600e-08,0.06592
7.6000e-08,0.0654
7.6400e-08,0.06512
7.6800e-08,0.06524
7.7200e-08,0.06564
7.7600e-08,0.06596
7.8000e-08,0.06608
7.8400e-08,0.06584
7.8800e-08,0.06548
7.9200e-08,0.06524
7.9600e-08,0.06532
8.0000e-08,0.06548
8.0400e-08,0.06568
8.0800e-08,0.06588
8.1200e-08,0.06612
8.1600e-08,0.06616
8.2000e-08,0.06612
8.2400e-08,0.06604
8.2800e-08,0.06576
8.3200e-08,0.0654
8.3600e-08,0.06516
8.4000e-08,0.06508
8.4400e-08,0.06524
8.4800e-08,0.06536
8.5200e-08,0.06568
8.5600e-08,0.066
8.6000e-08,0.06616
8.6400e-08,0.0662
8.6800e-08,0.06636
8.7200e-08,0.06644
8.7600e-08,0.0664
8.8000e-08,0.06636
8.8400e-08,0.06616
8.8800e-08,0.06592
8.9200e-08,0.06568
8.9600e-08,0.0656
9.0000e-08,0.0656
9.0400e-08,0.06584
9.0800e-08,0.06632
9.1200e-08,0.06656
9.1600e-08,0.06644
