Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,6.51e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,48.7400% to 51.2500%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0.0318,,
Vertical Scale,0.01,,
Vertical Position,-3.68,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.0750e-07,0.0902,-1.72,0.0532
1.0790e-07,0.0902,-1.72,0.0536
1.0830e-07,0.0898,-1.76,0.0544
1.0870e-07,0.089,-1.76,0.0544
1.0910e-07,0.0894,-1.76,0.0552
1.0950e-07,0.089,-1.76,0.0556
1.0990e-07,0.089,-1.72,0.0564
1.1030e-07,0.089,-1.76,0.0556
1.1070e-07,0.0902,-1.68,0.0536
1.1110e-07,0.0906,-1.76,0.0532
1.1150e-07,0.0906,-1.76,0.0536
1.1190e-07,0.0902,-1.76,0.054
1.1230e-07,0.0898,-1.72,0.0532
1.1270e-07,0.089,-1.72,0.054
1.1310e-07,0.089,-1.72,0.0552
1.1350e-07,0.0894,-1.72,0.0564
1.1390e-07,0.0898,-1.76,0.0552
1.1430e-07,0.0898,-1.72,0.0552
1.1470e-07,0.0898,-1.72,0.0548

