Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
6.4400e-08,0.161113,0.0768,-0.0446875
6.4800e-08,0.161075,0.0768813,-0.0442188
6.5200e-08,0.16115,0.0767906,-0.043875
6.5600e-08,0.161316,0.0766438,-0.04425
6.6000e-08,0.161356,0.0765219,-0.0458906
6.6400e-08,0.161334,0.0764391,-0.0450469
6.6800e-08,0.161181,0.0764766,-0.0431563
6.7200e-08,0.160972,0.0765359,-0.0428594
6.7600e-08,0.160756,0.0766734,-0.0426719
6.8000e-08,0.160563,0.0766891,-0.0433125
6.8400e-08,0.160431,0.0766078,-0.0434688
6.8800e-08,0.160303,0.0764703,-0.0437656
6.9200e-08,0.16035,0.0763547,-0.0434063
6.9600e-08,0.160309,0.0761734,-0.0436719
7.0000e-08,0.160338,0.0761656,-0.0429844
7.0400e-08,0.160081,0.0761344,-0.0434063
7.0800e-08,0.159988,0.0761984,-0.0429844
7.1200e-08,0.159834,0.0762453,-0.0434531
7.1600e-08,0.159763,0.0762484,-0.0432969
7.2000e-08,0.159672,0.0762156,-0.0430156
7.2400e-08,0.159581,0.0761156,-0.0427969
7.2800e-08,0.159669,0.0760844,-0.042625
7.3200e-08,0.159475,0.0759922,-0.0432344
7.3600e-08,0.159344,0.0759375,-0.0432813
7.4000e-08,0.159388,0.0760047,-0.0425625
7.4400e-08,0.15915,0.0759875,-0.0424844
7.4800e-08,0.159141,0.0759797,-0.0426875
7.5200e-08,0.158994,0.0759141,-0.042875
7.5600e-08,0.159,0.0758672,-0.0426094
7.6000e-08,0.15885,0.0757859,-0.042625
7.6400e-08,0.158828,0.0757531,-0.0423594
7.6800e-08,0.158688,0.0756734,-0.042625
7.7200e-08,0.158603,0.0756594,-0.0425
7.7600e-08,0.158544,0.0756969,-0.0421875
7.8000e-08,0.158388,0.0756469,-0.0422344
7.8400e-08,0.158281,0.0756109,-0.0424844
7.8800e-08,0.158238,0.0755875,-0.0421563
7.9200e-08,0.158106,0.0755031,-0.042375
7.9600e-08,0.158,0.0754359,-0.0420312
8.0000e-08,0.157806,0.0754141,-0.0423906
8.0400e-08,0.157834,0.0754156,-0.0416719
8.0800e-08,0.157653,0.0754203,-0.0414688
8.1200e-08,0.157556,0.0753875,-0.0417031
8.1600e-08,0.157563,0.0753734,-0.0420469
