Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Horizontal Delay,6.25e+08
Sample Interval,125000
Record Length,10000
Gating,0.0% to 98.8900%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Vertical Position,3
,
,
,
Label,
FREQUENCY,"MATH<FFT(CH1, HANNING, LOGRMS)>"
3.9625e+07,-132.991
3.9750e+07,-136.406
3.9875e+07,-131.269
4.0000e+07,-126.131
4.0125e+07,-123.853
4.0250e+07,-121.572
4.0375e+07,-121.556
4.0500e+07,-121.537
4.0625e+07,-122.891
4.0750e+07,-124.241
4.0875e+07,-123.128
4.1000e+07,-122.013
4.1125e+07,-120.191
4.1250e+07,-118.366
4.1375e+07,-120.981
4.1500e+07,-123.594
4.1625e+07,-125.888
4.1750e+07,-128.181
4.1875e+07,-124.825
4.2000e+07,-121.469
4.2125e+07,-119.794
4.2250e+07,-118.119
4.2375e+07,-117.731
4.2500e+07,-117.341
4.2625e+07,-118.322
4.2750e+07,-119.3
4.2875e+07,-120.094
4.3000e+07,-120.888
4.3125e+07,-120.888
4.3250e+07,-120.884
4.3375e+07,-120.175
4.3500e+07,-119.466
4.3625e+07,-120.675
4.3750e+07,-121.884
4.3875e+07,-124.053
4.4000e+07,-126.219
4.4125e+07,-124.019
4.4250e+07,-121.819
4.4375e+07,-120.434
4.4500e+07,-119.05
4.4625e+07,-120.147
4.4750e+07,-121.241
4.4875e+07,-121.763
4.5000e+07,-122.284
4.5125e+07,-122.284
4.5250e+07,-122.281
4.5375e+07,-122.588
4.5500e+07,-122.891
4.5625e+07,-121.947
4.5750e+07,-121.003
4.5875e+07,-122.1
4.6000e+07,-123.194
4.6125e+07,-124.453
4.6250e+07,-125.709
4.6375e+07,-127.956
4.6500e+07,-130.2
4.6625e+07,-127.184
4.6750e+07,-124.166
4.6875e+07,-120.872
4.7000e+07,-117.578
4.7125e+07,-116.216
4.7250e+07,-114.85
4.7375e+07,-115.778
4.7500e+07,-116.706
4.7625e+07,-111.106
4.7750e+07,-105.506
4.7875e+07,-102.838
4.8000e+07,-100.166
4.8125e+07,-102.816
4.8250e+07,-105.463
4.8375e+07,-113.291
4.8500e+07,-121.116
4.8625e+07,-120
4.8750e+07,-118.884
4.8875e+07,-120.075
4.9000e+07,-121.263
4.9125e+07,-121.491
4.9250e+07,-121.716
4.9375e+07,-120.903
4.9500e+07,-120.088
4.9625e+07,-121.303
4.9750e+07,-122.516
4.9875e+07,-126.072
5.0000e+07,-129.628
5.0125e+07,-124.163
5.0250e+07,-118.694
5.0375e+07,-117.553
5.0500e+07,-116.412
5.0625e+07,-118.131
5.0750e+07,-119.85
5.0875e+07,-119.744
5.1000e+07,-119.638
5.1125e+07,-119.3
5.1250e+07,-118.959
5.1375e+07,-118.584
5.1500e+07,-118.209
5.1625e+07,-119.006
5.1750e+07,-119.8
5.1875e+07,-121.128
5.2000e+07,-122.453
5.2125e+07,-122.691
5.2250e+07,-122.925
5.2375e+07,-122.766
5.2500e+07,-122.606
5.2625e+07,-122.081
5.2750e+07,-121.556
5.2875e+07,-120.662
5.3000e+07,-119.769
5.3125e+07,-119.731
5.3250e+07,-119.694
5.3375e+07,-120.113
5.3500e+07,-120.531
5.3625e+07,-120.341
5.3750e+07,-120.147
5.3875e+07,-121.034
5.4000e+07,-121.922
5.4125e+07,-123.269
5.4250e+07,-124.612
5.4375e+07,-124.634
5.4500e+07,-124.653
5.4625e+07,-123.509
5.4750e+07,-122.363
5.4875e+07,-124.469
5.5000e+07,-126.572
5.5125e+07,-124.406
5.5250e+07,-122.241
5.5375e+07,-121.497
5.5500e+07,-120.753
5.5625e+07,-120.859
5.5750e+07,-120.963
5.5875e+07,-119.425
5.6000e+07,-117.888
5.6125e+07,-117.45
5.6250e+07,-117.013
5.6375e+07,-118.834
5.6500e+07,-120.653
5.6625e+07,-121.9
5.6750e+07,-123.147
5.6875e+07,-123.622
5.7000e+07,-124.094
5.7125e+07,-121.784
5.7250e+07,-119.472
5.7375e+07,-119.966
5.7500e+07,-120.456
5.7625e+07,-125.2
5.7750e+07,-129.941
5.7875e+07,-128.197
5.8000e+07,-126.453
5.8125e+07,-123.784
5.8250e+07,-121.116
5.8375e+07,-123.453
5.8500e+07,-125.788
5.8625e+07,-128.022
5.8750e+07,-130.253
5.8875e+07,-126.3
5.9000e+07,-122.344
5.9125e+07,-122.525
5.9250e+07,-122.703
5.9375e+07,-126.5
5.9500e+07,-130.297
5.9625e+07,-117.459
5.9750e+07,-104.619
5.9875e+07,-101.344
6.0000e+07,-98.0656
6.0125e+07,-100.812
6.0250e+07,-103.556
6.0375e+07,-114.953
6.0500e+07,-126.347
6.0625e+07,-123.375
6.0750e+07,-120.4
6.0875e+07,-124.034
6.1000e+07,-127.669
6.1125e+07,-126.897
6.1250e+07,-126.122
6.1375e+07,-130.647
6.1500e+07,-135.169
6.1625e+07,-128.569
6.1750e+07,-121.969
6.1875e+07,-119.016
6.2000e+07,-116.059
6.2125e+07,-116.503
