Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-08
Horizontal Delay,2.76e-08
Sample Interval,4e-10
Record Length,10000
Gating,47.4900% to 52.500%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.053
Vertical Scale,0.01
Vertical Position,-0.06
,
,
,
Label,
TIME,CH1
9.8400e-08,0.0648
9.8800e-08,0.0652
9.9200e-08,0.0656
9.9600e-08,0.0652
1.0000e-07,0.064
1.0040e-07,0.0636
1.0080e-07,0.0648
1.0120e-07,0.0656
1.0160e-07,0.0664
1.0200e-07,0.0668
1.0240e-07,0.0664
1.0280e-07,0.0668
1.0320e-07,0.066
1.0360e-07,0.066
1.0400e-07,0.0648
1.0440e-07,0.064
1.0480e-07,0.064
1.0520e-07,0.064
1.0560e-07,0.0648
1.0600e-07,0.0668
1.0640e-07,0.0684
1.0680e-07,0.0684
1.0720e-07,0.0664
1.0760e-07,0.0636
1.0800e-07,0.062
1.0840e-07,0.0632
1.0880e-07,0.0644
1.0920e-07,0.066
1.0960e-07,0.066
1.1000e-07,0.0668
1.1040e-07,0.0664
1.1080e-07,0.0656
1.1120e-07,0.0652
1.1160e-07,0.0652
1.1200e-07,0.0652
1.1240e-07,0.066
1.1280e-07,0.066
1.1320e-07,0.0652
1.1360e-07,0.0652
1.1400e-07,0.064
1.1440e-07,0.064
1.1480e-07,0.0644
1.1520e-07,0.0644
1.1560e-07,0.0648
1.1600e-07,0.0656
1.1640e-07,0.066
1.1680e-07,0.0672
1.1720e-07,0.0668
1.1760e-07,0.066
1.1800e-07,0.064
1.1840e-07,0.0628
1.1880e-07,0.064
1.1920e-07,0.0656
1.1960e-07,0.0664
1.2000e-07,0.0668
1.2040e-07,0.0664
1.2080e-07,0.0664
1.2120e-07,0.0664
1.2160e-07,0.0652
1.2200e-07,0.0632
1.2240e-07,0.0612
1.2280e-07,0.0612
1.2320e-07,0.0628
1.2360e-07,0.0652
1.2400e-07,0.0668
1.2440e-07,0.068
1.2480e-07,0.0664
1.2520e-07,0.0656
1.2560e-07,0.064
1.2600e-07,0.064
1.2640e-07,0.0636
1.2680e-07,0.0636
1.2720e-07,0.0632

