Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0708,
Vertical Scale,0.02,
Vertical Position,-1.02,
,,
,,
,,
Label,,
TIME,CH1,CH3
8.1970e-08,0.0896,-0.0016
8.2370e-08,0.0896,-0.0016
8.2770e-08,0.0888,-0.0008
8.3170e-08,0.088,-0.0016
8.3570e-08,0.0872,-0.0008
8.3970e-08,0.0888,-0.0008
8.4370e-08,0.0888,-0.0008
8.4770e-08,0.0904,0.0008
8.5170e-08,0.0904,0.0016
8.5570e-08,0.0904,0.0008
8.5970e-08,0.0888,0
8.6370e-08,0.088,0
8.6770e-08,0.0888,-0.0008
8.7170e-08,0.0872,-0.0024
8.7570e-08,0.088,-0.0016
8.7970e-08,0.0888,-0.0008
8.8370e-08,0.0904,-0.0008
8.8770e-08,0.0904,0
8.9170e-08,0.0904,-0.0008
8.9570e-08,0.0904,0.0008
8.9970e-08,0.0896,0
9.0370e-08,0.0888,0
9.0770e-08,0.0872,0
9.1170e-08,0.088,-0.0008
9.1570e-08,0.088,-0.0008
9.1970e-08,0.088,-0.0016
9.2370e-08,0.0896,0
9.2770e-08,0.0904,-0.0016
9.3170e-08,0.0904,0
9.3570e-08,0.0904,0.0008
9.3970e-08,0.0912,0.0008
9.4370e-08,0.0904,0
9.4770e-08,0.0904,0.0008
9.5170e-08,0.0888,0
9.5570e-08,0.088,0
9.5970e-08,0.0888,-0.0024
9.6370e-08,0.0896,-0.0024
9.6770e-08,0.0904,-0.0016
9.7170e-08,0.0904,0
9.7570e-08,0.0912,0
9.7970e-08,0.0904,0
9.8370e-08,0.0896,0.0008
9.8770e-08,0.0896,0.0008
9.9170e-08,0.0888,0
9.9570e-08,0.0888,-0.0016
9.9970e-08,0.088,-0.0016
1.0037e-07,0.0872,-0.0008
1.0077e-07,0.088,-0.0016
1.0117e-07,0.0888,-0.0016
1.0157e-07,0.0888,-0.0008
1.0197e-07,0.0888,0
1.0237e-07,0.0888,0.0008
1.0277e-07,0.0896,0.0016
1.0317e-07,0.0904,0.0008
1.0357e-07,0.0896,-0.0008
1.0397e-07,0.0888,-0.0008
1.0437e-07,0.088,-0.0008
1.0477e-07,0.088,-0.0016
1.0517e-07,0.088,-0.0024
1.0557e-07,0.088,0
